Dia;Mes;ano;Hora;Minuto;Segundo;Temperatura
26;10;2012;17;2;0;20,5
26;10;2012;19;2;0;20,0
26;10;2012;21;2;0;20,0
26;10;2012;23;2;0;20,5
27;10;2012;1;2;0;21,0
27;10;2012;3;2;0;21,0
27;10;2012;5;2;0;21,0
27;10;2012;7;2;0;21,0
27;10;2012;9;2;0;23,0
27;10;2012;11;2;0;26,0
27;10;2012;13;2;0;24,5
27;10;2012;15;2;0;24,5
27;10;2012;17;2;0;24,5
27;10;2012;19;2;0;23,0
27;10;2012;21;2;0;22,5
27;10;2012;23;2;0;22,5
28;10;2012;1;2;0;22,5
28;10;2012;3;2;0;22,0
28;10;2012;5;2;0;21,5
28;10;2012;7;2;0;21,5
28;10;2012;9;2;0;22,0
28;10;2012;11;2;0;22,0
28;10;2012;13;2;0;23,5
28;10;2012;15;2;0;23,0
28;10;2012;17;2;0;23,5
28;10;2012;19;2;0;22,5
28;10;2012;21;2;0;22,0
28;10;2012;23;2;0;22,0
29;10;2012;1;2;0;22,0
29;10;2012;3;2;0;22,0
29;10;2012;5;2;0;22,0
29;10;2012;7;2;0;22,0
29;10;2012;9;2;0;23,0
29;10;2012;11;2;0;23,0
29;10;2012;13;2;0;23,5
29;10;2012;15;2;0;23,5
29;10;2012;17;2;0;24,5
29;10;2012;19;2;0;24,5
29;10;2012;21;2;0;24,0
29;10;2012;23;2;0;23,5
30;10;2012;1;2;0;23,0
30;10;2012;3;2;0;23,0
30;10;2012;5;2;0;23,0
30;10;2012;7;2;0;22,5
30;10;2012;9;2;0;25,0
30;10;2012;11;2;0;23,5
30;10;2012;13;2;0;24,0
30;10;2012;15;2;0;27,5
30;10;2012;17;2;0;25,0
30;10;2012;19;2;0;24,0
30;10;2012;21;2;0;24,0
30;10;2012;23;2;0;23,5
31;10;2012;1;2;0;23,5
31;10;2012;3;2;0;23,5
31;10;2012;5;2;0;23,5
31;10;2012;7;2;0;23,5
31;10;2012;9;2;0;24,5
31;10;2012;11;2;0;26,5
31;10;2012;13;2;0;25,0
31;10;2012;15;2;0;26,0
31;10;2012;17;2;0;26,5
31;10;2012;19;2;0;25,0
31;10;2012;21;2;0;24,5
31;10;2012;23;2;0;24,5
1;11;2012;1;2;0;24,0
1;11;2012;3;2;0;24,0
1;11;2012;5;2;0;24,0
1;11;2012;7;2;0;24,0
1;11;2012;9;2;0;24,0
1;11;2012;11;2;0;24,5
1;11;2012;13;2;0;24,5
1;11;2012;15;2;0;24,5
1;11;2012;17;2;0;24,0
1;11;2012;19;2;0;24,0
1;11;2012;21;2;0;23,5
1;11;2012;23;2;0;23,5
2;11;2012;1;2;0;23,5
2;11;2012;3;2;0;23,5
2;11;2012;5;2;0;23,5
2;11;2012;7;2;0;23,0
2;11;2012;9;2;0;23,0
2;11;2012;11;2;0;23,5
2;11;2012;13;2;0;23,5
2;11;2012;15;2;0;23,5
2;11;2012;17;2;0;23,5
2;11;2012;19;2;0;22,5
2;11;2012;21;2;0;22,0
2;11;2012;23;2;0;21,0
3;11;2012;1;2;0;21,0
3;11;2012;3;2;0;21,5
3;11;2012;5;2;0;21,5
3;11;2012;7;2;0;22,0
3;11;2012;9;2;0;22,0
3;11;2012;11;2;0;22,5
3;11;2012;13;2;0;23,0
3;11;2012;15;2;0;22,5
3;11;2012;17;2;0;22,5
3;11;2012;19;2;0;22,0
3;11;2012;21;2;0;22,0
3;11;2012;23;2;0;22,0
4;11;2012;1;2;0;21,5
4;11;2012;3;2;0;21,0
4;11;2012;5;2;0;21,0
4;11;2012;7;2;0;21,0
4;11;2012;9;2;0;20,0
4;11;2012;11;2;0;21,0
4;11;2012;13;2;0;20,5
4;11;2012;15;2;0;21,5
4;11;2012;17;2;0;21,0
4;11;2012;19;2;0;20,5
4;11;2012;21;2;0;20,5
4;11;2012;23;2;0;20,5
5;11;2012;1;2;0;20,0
5;11;2012;3;2;0;20,5
5;11;2012;5;2;0;20,0
5;11;2012;7;2;0;20,5
5;11;2012;9;2;0;21,0
5;11;2012;11;2;0;22,0
5;11;2012;13;2;0;22,5
5;11;2012;15;2;0;23,0
5;11;2012;17;2;0;22,5
5;11;2012;19;2;0;22,5
5;11;2012;21;2;0;22,5
5;11;2012;23;2;0;22,5
6;11;2012;1;2;0;23,0
6;11;2012;3;2;0;22,5
6;11;2012;5;2;0;22,5
6;11;2012;7;2;0;22,5
6;11;2012;9;2;0;22,5
6;11;2012;11;2;0;23,5
6;11;2012;13;2;0;24,5
6;11;2012;15;2;0;24,5
6;11;2012;17;2;0;24,0
6;11;2012;19;2;0;23,5
6;11;2012;21;2;0;23,5
6;11;2012;23;2;0;23,5
7;11;2012;1;2;0;23,5
7;11;2012;3;2;0;23,5
7;11;2012;5;2;0;23,5
7;11;2012;7;2;0;23,0
7;11;2012;9;2;0;24,5
7;11;2012;11;2;0;26,0
7;11;2012;13;2;0;25,0
7;11;2012;15;2;0;24,5
7;11;2012;17;2;0;24,0
7;11;2012;19;2;0;24,0
7;11;2012;21;2;0;23,5
7;11;2012;23;2;0;23,0
8;11;2012;1;2;0;23,0
8;11;2012;3;2;0;22,0
8;11;2012;5;2;0;21,0
8;11;2012;7;2;0;21,5
8;11;2012;9;2;0;21,5
8;11;2012;11;2;0;22,5
8;11;2012;13;2;0;23,0
8;11;2012;15;2;0;23,0
8;11;2012;17;2;0;22,0
8;11;2012;19;2;0;21,0
8;11;2012;21;2;0;20,5
8;11;2012;23;2;0;19,5
9;11;2012;1;2;0;19,0
9;11;2012;3;2;0;18,0
9;11;2012;5;2;0;17,5
9;11;2012;7;2;0;17,0
9;11;2012;9;2;0;16,5
9;11;2012;11;2;0;16,5
9;11;2012;13;2;0;17,0
9;11;2012;15;2;0;17,0
9;11;2012;17;2;0;16,5
9;11;2012;19;2;0;16,0
9;11;2012;21;2;0;15,0
9;11;2012;23;2;0;14,5
10;11;2012;1;2;0;14,0
10;11;2012;3;2;0;14,0
10;11;2012;5;2;0;15,0
10;11;2012;7;2;0;14,5
10;11;2012;9;2;0;14,5
10;11;2012;11;2;0;14,5
10;11;2012;13;2;0;15,0
10;11;2012;15;2;0;15,0
10;11;2012;17;2;0;14,5
10;11;2012;19;2;0;16,5
10;11;2012;21;2;0;16,5
10;11;2012;23;2;0;16,0
11;11;2012;1;2;0;16,0
11;11;2012;3;2;0;15,5
11;11;2012;5;2;0;15,5
11;11;2012;7;2;0;15,0
11;11;2012;9;2;0;15,5
11;11;2012;11;2;0;18,0
11;11;2012;13;2;0;19,0
11;11;2012;15;2;0;18,0
11;11;2012;17;2;0;18,0
11;11;2012;19;2;0;18,0
11;11;2012;21;2;0;18,0
11;11;2012;23;2;0;17,5
12;11;2012;1;2;0;18,0
12;11;2012;3;2;0;18,0
12;11;2012;5;2;0;18,0
12;11;2012;7;2;0;18,0
12;11;2012;9;2;0;18,5
12;11;2012;11;2;0;19,5
12;11;2012;13;2;0;19,5
12;11;2012;15;2;0;19,5
12;11;2012;17;2;0;20,0
12;11;2012;19;2;0;20,0
12;11;2012;21;2;0;20,0
12;11;2012;23;2;0;20,0
13;11;2012;1;2;0;20,0
13;11;2012;3;2;0;19,5
13;11;2012;5;2;0;20,0
13;11;2012;7;2;0;20,0
13;11;2012;9;2;0;19,0
13;11;2012;11;2;0;18,5
13;11;2012;13;2;0;18,0
13;11;2012;15;2;0;17,5
13;11;2012;17;2;0;17,5
13;11;2012;19;2;0;17,5
13;11;2012;21;2;0;18,5
13;11;2012;23;2;0;18,0
14;11;2012;1;2;0;17,5
14;11;2012;3;2;0;17,5
14;11;2012;5;2;0;17,5
14;11;2012;7;2;0;17,5
14;11;2012;9;2;0;17,5
14;11;2012;11;2;0;17,0
14;11;2012;13;2;0;17,5
14;11;2012;15;2;0;17,5
14;11;2012;17;2;0;17,0
14;11;2012;19;2;0;16,5
14;11;2012;21;2;0;16,5
14;11;2012;23;2;0;16,0
15;11;2012;1;2;0;15,5
15;11;2012;3;2;0;16,0
15;11;2012;5;2;0;16,5
15;11;2012;7;2;0;16,5
15;11;2012;9;2;0;17,0
15;11;2012;11;2;0;18,0
15;11;2012;13;2;0;18,0
15;11;2012;15;2;0;18,0
15;11;2012;17;2;0;17,0
15;11;2012;19;2;0;17,0
15;11;2012;21;2;0;16,5
15;11;2012;23;2;0;16,5
16;11;2012;1;2;0;16,5
16;11;2012;3;2;0;16,5
16;11;2012;5;2;0;16,5
16;11;2012;7;2;0;17,5
16;11;2012;9;2;0;18,0
16;11;2012;11;2;0;18,0
16;11;2012;13;2;0;18,5
16;11;2012;15;2;0;19,0
16;11;2012;17;2;0;18,5
16;11;2012;19;2;0;18,5
16;11;2012;21;2;0;18,0
16;11;2012;23;2;0;18,0
17;11;2012;1;2;0;17,5
17;11;2012;3;2;0;17,5
17;11;2012;5;2;0;17,5
17;11;2012;7;2;0;17,5
17;11;2012;9;2;0;18,0
17;11;2012;11;2;0;19,0
17;11;2012;13;2;0;20,0
17;11;2012;15;2;0;19,5
17;11;2012;17;2;0;19,5
